Gene_name	Sample1
ENSG00000223972	0.05445
ENSG00000227232	20.81
ENSG00000243485	0.1209
ENSG00000237613	0.0381
ENSG00000268020	0.04904
ENSG00000240361	0.09881
ENSG00000186092	0
ENSG00000238009	0.02258
ENSG00000233750	0.05133
ENSG00000237683	4.116
ENSG00000268903	0
ENSG00000239906	1.006
ENSG00000241860	0.1574
ENSG00000222623	0.4466
ENSG00000241599	0.1016
ENSG00000228463	0.3749
ENSG00000237094	0.13
ENSG00000250575	0.5379
ENSG00000233653	0.09478
ENSG00000224813	0
ENSG00000235249	0
ENSG00000269732	0.2559
ENSG00000256186	0
ENSG00000236601	0.1403
ENSG00000236743	0.2061
ENSG00000236679	0.1206
ENSG00000231709	0
ENSG00000235146	0
ENSG00000239664	0
ENSG00000230021	0.08225
ENSG00000223659	0.05791
ENSG00000225972	19.85
ENSG00000225630	987.8
ENSG00000237973	40.69
ENSG00000229344	14.16
ENSG00000240409	21.06
ENSG00000248527	4246
ENSG00000198744	41.08
ENSG00000268663	0.1095
ENSG00000185097	0.04668
ENSG00000229376	0.0947
ENSG00000224956	5.749
ENSG00000235373	0.172
ENSG00000223181	0.8931
ENSG00000240618	0
ENSG00000229905	0.2037
ENSG00000228327	2.27
ENSG00000237491	0.4967
ENSG00000230092	1.285
ENSG00000269831	0
ENSG00000240453	0
ENSG00000177757	0.7239
ENSG00000225880	7.3
ENSG00000228794	5.29
ENSG00000230368	0.1072
ENSG00000234711	0.1699
ENSG00000269308	0
ENSG00000272438	0.1323
ENSG00000230699	0.1239
ENSG00000241180	0
ENSG00000223764	0.6018
ENSG00000187634	0.81
ENSG00000268179	0
ENSG00000188976	64.55
ENSG00000187961	19.14
ENSG00000187583	2.975
ENSG00000187642	1.037
ENSG00000272512	1.18
ENSG00000188290	23.27
ENSG00000231702	0.3016
ENSG00000224969	0.1972
ENSG00000187608	25.67
ENSG00000188157	25.74
ENSG00000217801	0.5216
ENSG00000273443	0.1973
ENSG00000237330	0.2198
ENSG00000131591	10.62
ENSG00000223823	0.2293
ENSG00000207730	0
ENSG00000207607	0
ENSG00000198976	0.5595
ENSG00000272141	3.341
ENSG00000205231	4.558
ENSG00000162571	6.987
ENSG00000186891	3.831
ENSG00000186827	35.82
ENSG00000078808	123.5
ENSG00000176022	19.65
ENSG00000184163	5.379
ENSG00000260179	0.8048
ENSG00000160087	24
ENSG00000230415	2.625
ENSG00000162572	5.712
ENSG00000131584	51.16
ENSG00000169972	19.11
ENSG00000127054	64.89
ENSG00000240731	32.49
ENSG00000224051	28.56
ENSG00000169962	0.8464
ENSG00000107404	72.31
ENSG00000162576	222.4
ENSG00000175756	69.43
ENSG00000223663	0
ENSG00000221978	216.3
ENSG00000224870	14.79
ENSG00000242485	59.94
ENSG00000272455	3.354
ENSG00000235098	8.413
ENSG00000225905	1.666
ENSG00000205116	0.0944
ENSG00000225285	3.493
ENSG00000179403	20.53
ENSG00000215915	1.637
ENSG00000160072	34.8
ENSG00000197785	20.9
ENSG00000205090	4.879
ENSG00000160075	100.6
ENSG00000215014	0.7748
ENSG00000236684	0
ENSG00000228594	0.7128
